requirement_id,domain,requirement,existing_asset,target_package,maturity,next_acceptance
MAG-T30-001,Foundation,Register MAG Audit as regulated ECARMF Tenant 30,ARCHITECTURE.md,ecarmf.mag-audit-foundation,Specified,Tenant profile persists and rejects header identity
MAG-T30-002,Architecture,Run from one domain core in standalone and ECARMF modes,IRS-AIKB/docs/MAG_AUDIT_SYSTEM_MASTER_NARRATIVE.md,ecarmf.mag-audit-foundation,Designed,Contract parity tests pass in both modes
MAG-T30-003,Parties,Maintain clients taxpayers representatives and sponsors,IRS-AIKB/migrations/009_client_upload_portal.sql;010_sponsor_referral_access.sql,ecarmf.mag-audit-parties,Prototype,Records persist through ECARMF adapter
MAG-T30-004,Consent,Deny sponsor access unless client grants scoped consent,IRS-AIKB/irs_aikb/sponsor_access.py,ecarmf.mag-audit-parties,Tested module,ECARMF authorization and revocation tests pass
MAG-T30-005,Onboarding,Complete acceptance engagement welcome and checklist journey,IRS-AIKB/docs/CLIENT_INPUT_AND_UPLOAD_DESIGN.md,ecarmf.mag-audit-onboarding,Designed,Persistent onboarding acceptance test passes
MAG-T30-006,Cases,Scope each case by taxpayer jurisdiction tax type form and period,IRS-AIKB/migrations/006_case_workflow.sql;012_multi_jurisdiction_framework.sql,ecarmf.mag-audit-case-management,Prototype,Two-period and two-jurisdiction isolation tests pass
MAG-T30-007,Operations,Manage staff tasks deadlines contacts chronology and escalation,IRS-AIKB/irs_aikb/case_operations.py,ecarmf.mag-audit-case-management,Tested module,Workspace writes and reads persistent case state
MAG-T30-008,Evidence,Upload scan hash classify preserve index and retain evidence,IRS-AIKB/irs_aikb/client_upload.py,ecarmf.mag-audit-evidence,Partial,Real files complete guarded evidence lifecycle
MAG-T30-009,Provenance,Trace every extracted fact to artifact version page field and method,IRS-AIKB/irs_aikb/canonical.py,ecarmf.mag-audit-evidence,Prototype,Fact-to-original evidence navigation passes
MAG-T30-010,Returns,Recognize returns XML schedules versions and canonical facts,IRS-AIKB/irs_aikb/intake.py;efile_xml.py,ecarmf.mag-audit-return-intelligence,Tested module,2024 1120-S synthetic package ingests persistently
MAG-T30-011,LineMapping,Apply strict versioned form line definitions,IRS-AIKB/irs_aikb/line_mapping.py,ecarmf.mag-audit-return-intelligence,Tested module,Unsupported year/form fails closed
MAG-T30-012,Reconciliation,Reconcile return books third-party forms and supporting evidence,IRS-AIKB/irs_aikb/reconciliation.py,ecarmf.mag-audit-return-intelligence,Tested module,Exceptions persist with provenance and disposition
MAG-T30-013,Risk,Calculate separate explainable risk readiness exposure controversy and confidence scores,IRS-AIKB/irs_aikb/portfolio.py;chief_audit.py,ecarmf.mag-audit-risk-analytics,Tested module,Factor/source/weight explanation is persisted
MAG-T30-014,RiskBoundary,Never claim confidential DIF replication or guaranteed selection prediction,IRS-AIKB/README.md,ecarmf.mag-audit-risk-analytics,Policy,Automated language and metadata controls pass
MAG-T30-015,Techniques,Map issues to techniques evidence interviews and authority,IRS-AIKB/data/mainstream_atg.db,ecarmf.mag-audit-technique-engine,Machine corpus,Reviewed candidates generate cited program
MAG-T30-016,AuditProgram,Generate assign execute and review customized audit programs,IRS-AIKB/docs/CASE_OPERATIONS_WORKSPACE.md,ecarmf.mag-audit-technique-engine,Prototype,Program steps require evidence and reviewer
MAG-T30-017,Rights,Manage taxpayer rights procedural safeguards and escalation,IRS-AIKB/docs/IDR_RIGHTS_CONTROVERSY_ENGINE.md,ecarmf.mag-audit-rights-controversy,Designed,Case rights checklist and escalation persist
MAG-T30-018,Authorization,Prepare approve sign and track Form 2848 and other authority,IRS-AIKB/docs/CLIENT_TRANSPARENCY_AND_AI_ENGAGEMENT.md,ecarmf.mag-audit-rights-controversy,Designed,No authority contact before verified authorization
MAG-T30-019,IDR,Manage requests scope privilege production responses and receipts,IRS-AIKB/docs/IDR_RIGHTS_CONTROVERSY_ENGINE.md,ecarmf.mag-audit-rights-controversy,Designed,Production log proves exactly what was sent
MAG-T30-020,ClientPortal,Keep client informed and obtain requests decisions and signatures,IRS-AIKB/irs_aikb/client_engagement.py,ecarmf.mag-audit-client-collaboration,Tested module,Persistent client journey works with role isolation
MAG-T30-021,SponsorPortal,Expose only client-consented case information,IRS-AIKB/irs_aikb/sponsor_access.py,ecarmf.mag-audit-client-collaboration,Tested module,Revocation immediately removes access
MAG-T30-022,Workspace,Provide role-aware staff and reviewer command center,IRS-AIKB/app/index.html,ecarmf.mag-audit-workspace,Visual demo,Every action uses persistent APIs
MAG-T30-023,AIAgents,Govern agent scope context confidence approval and audit trail,IRS-AIKB/docs/ORGANIZATIONAL_INTELLIGENCE_CONTROL_PLANE_V05.md,ecarmf.mag-audit-ai-agents,Prototype,Agent interaction audit and human disposition pass
MAG-T30-024,Outcomes,Connect findings recommendations actions resolutions and verified outcomes,IRS-AIKB/irs_aikb/outcome.py,ecarmf.mag-audit-outcome-value,Tested module,Invalid chain transitions fail closed
MAG-T30-025,Value,Produce evidence-based client and leadership value reporting,IRS-AIKB/docs/OUTCOME_RESOLUTION_VALUE_ENGINE.md,ecarmf.mag-audit-outcome-value,Prototype,Value claim traces to verified outcome
MAG-T30-026,IRS,Provide effective-dated cited IRS knowledge and jurisdiction rules,IRS-AIKB/sources;data/mainstream_atg.db,ecarmf.mag-audit-irs-engine,Partial corpus,Case retrieves applicable reviewed sources
MAG-T30-027,IDOR,Reserve Illinois engine without substituting federal knowledge,IRS-AIKB/irs_aikb/jurisdiction.py,ecarmf.mag-audit-idor-engine,Tested placeholder,Unvalidated substantive request fails closed
MAG-T30-028,Learning,Require review before case learning changes system behavior,IRS-AIKB/irs_aikb/control_plane.py,ecarmf.mag-audit-organizational-intelligence,Tested module,Approve publish rollback cycle passes
MAG-T30-029,Reporting,Provide case portfolio workload risk outcome value and quality views,IRS-AIKB/app/index.html,ecarmf.mag-audit-reporting,Visual demo,Dashboards reconcile to persistent records
MAG-T30-030,Corpus,Preserve version hash effective date provenance and professional review,IRS-AIKB/source-manifest;docs/GOVERNANCE.md,ecarmf.mag-audit-irs-engine,Partial,Source update impact and supersession test passes
MAG-T30-031,Security,Protect taxpayer data using least privilege encryption audit retention and legal hold,ECARMF tenant security mechanisms,ecarmf.mag-audit-foundation,Partial,Threat model and regulated-tenant security tests pass
MAG-T30-032,Acceptance,Complete one synthetic case from onboarding through verified outcome,IRS-AIKB/examples,all packages,Not integrated,End-to-end acceptance journey passes in both modes
